Task.json,Human Performance,S: Basic or Natural Shapes,L: Grid Spatial Layout,F: Object Features and Parts,T_A: Advanced Transformations,T_B: Basic Transformations,Ground Truth,Induction Accurate,Induction Inaccurate,Transduction?,Induction?,Potpourri,Potpourri TTF,Potpourri Reranking,Potpourri TTF Reranking ,Heavy,Heavy TTF,H & Incorrect induction
a8610ef7,0,,,,"logical operation, symmetry","change color, overlay, repeat/copy","change color,repeat/copy,overlay,symmetry,logical operation","alternating, change color, symmetry, zigzag","change color, even/odd, symmetry",0,No,0,0,0,0,0,0,0
b4a43f3b,0,"divider, line, motif",divider,,scale,change color,"change color,scale,divider,motif,line,divider",,"center, circle, divider, gap/distance, line, rearrange, rectangle, scale, spiral, square, triangle, vertical & horizontal",0,Yes,0,0,0,0,0,0,0
1c56ad9f,0,"line, rectangle, wave, zigzag",,,,,"zigzag,rectangle,line,wave",,"change color, diagonal, fill with color, superlative: size, symmetry",4,Yes,1,1,0,1,0,1,0
fea12743,9,,ordered shapes,,logical operation,"change color, object selection","object selection,change color,logical operation,ordered shapes",,"alternate, change color, connected, count, edges, fill with color, hole, object area, separator, superlative: size",1,Yes,0,0,0,0,0,1,0
e6de6e8f,10,,"overlap, touching",obstructed,,"change color, connect","change color,connect,obstructed,overlap,touching",,"alternate, center, extend/continue/propagate, fill with color, repeat, replace, stripe, symmetry",0,Yes,0,0,0,0,0,0,0
0934a4d8,11,,,,symmetry,"complete, obstruction","complete,obstruction,symmetry",,"adjacent, compact/crop, middle/center, overlay, repeat, scale, spiral, surrounded",0,Yes,0,0,0,0,0,0,0
7d419a02,14,"diagonal, rectangle, square","center/middle, parallel",diagonal,,"change color, extend/continue","change color,extend/continue,diagonal,parallel,center/middle,square,diagonal,rectangle",,"corner, left/right/top/bottom/above/below, middle/center, separate",0,Yes,0,0,0,0,0,0,0
310f3251,14,"diagonal, motif",,"corner, diagonal",,"extend/continue, repeat/copy","extend/continue,repeat/copy,corner,diagonal,motif,diagonal",,"adjacent, alternate, copy, corner, diagonal, extend/continue/propagate, left/right/top/bottom/above/below, rectangle, surrounded, symmetry, vertical & horizontal",6,Yes,1,1,1,1,1,1,0
84db8fc4,17,random,"border, connectedness","connected component, edge",,"change color, fill with color","change color,fill with color,edge,connected component,connectedness,border,random",,"change color, connected, connected component, edges, enclosed, extend/continue/propagate, fill with color, left/right/top/bottom/above/below, obstacle, random, shadows, surrounded",3,Yes,1,1,0,1,0,0,0
66f2d22f,18,divider,"divider, left/right/top/bottom/above/below",,logical operation,overlay,"overlay,logical operation,divider,left/right/top/bottom/above/below,divider","bottom, horizontal, logical operation, separate",left/right/top/bottom/above/below,5,No,1,1,1,1,0,1,0
3ed85e70,25,divider,"divider, left/right/top/bottom/above/below","border, shape outline, vertical & horizontal",,surround,"surround,border,vertical & horizontal,shape outline,divider,left/right/top/bottom/above/below,divider",,"boudning box, fill with color, rearrange, superlative: size",0,Yes,0,0,0,0,0,0,0
7953d61e,27,"motif, random",,,symmetry,,"symmetry,motif,random","bottom, center, continue/extend, left, right, symmetry, top",,5,No,1,1,1,1,0,1,0
3d31c5b3,27,divider,"divider, obstruction",vertical & horizontal,,overlay,"overlay,vertical & horizontal,obstruction,divider,divider",,"diagonal, middle/center, overlay, vertical & horizontal",5,Yes,1,1,1,1,0,1,0
50f325b5,29,random,,,,"change color, find pattern","change color,find pattern,random",,"L-shape, adjacent, boudning box, change color, diagonal, extend/continue/propagate, left/right/top/bottom/above/below, random, shape match, star, surrounded, symmetry, triangle",0,Yes,0,0,0,0,0,0,0
37d3e8b2,29,rectangle,,hole,,"change color, count","count,change color,hole,rectangle","change color, count, hole",change color,4,No,1,0,0,1,1,1,0
dc2aa30b,30,divider,divider,,sort,count,"count,sort,divider,divider",,"adjacent, checkerboard, compact/crop, copy, divider, invert, middle/center, rectangle, replace, superlative: repeat, symmetry, vertical & horizontal",0,Yes,0,0,0,0,0,0,0
f3b10344,38,"rectangle, square",,"color match, vertical & horizontal",path,"connect, extend/continue","connect,extend/continue,path,vertical & horizontal,color match,rectangle,square",,"center, circle, connected component, edges, fill with color, gap/distance, hole, overlap, polygon, rectangle, shadows, touch, vertical & horizontal",0,Yes,0,0,0,0,0,0,0
12eac192,38,random,,shape size/area,compare with: larger/smaller than,change color,"change color,compare with: larger/smaller than,shape size/area,random","change color, size, smaller/larger than","boundary, change color, middle/center, symmetry, touch, vertical & horizontal",1,No,0,1,0,0,0,0,0
aab50785,38,random,between,,crop/compact/summarize,find pattern,"find pattern,crop/compact/summarize,between,random",,"center, compact/crop, fill with color, obstacle, rectangle, square, superlative: size",1,Yes,0,1,0,0,0,0,0
a59b95c0,38,motif,,,,"count, fill with pattern, find pattern, repeat/copy, unique: color","repeat/copy,fill with pattern,count,unique: color,find pattern,motif",,"repeat, unique: color, vertical & horizontal",6,Yes,1,1,1,1,1,1,0
ccd554ac,40,"motif, random",,,,count,"count,random,motif","corner, count, fill, horizontal, repeat/copy, vertical",,5,No,1,1,1,1,0,1,0
2037f2c7,43,,,vertical & horizontal,symmetry,"change color, complete","change color,complete,symmetry,vertical & horizontal",,"boudning box, change color, compact/crop, diamond, overlap, rectangle, scale size, square, superlative: size, symmetry",0,Yes,0,0,0,0,0,0,0
14754a24,44,flower,,obstructed,,"change color, complete","change color,complete,obstructed,flower",,"adjacent, arm, boundary, change color, circle, cluster/clutter, connected component, flower, in/out, separate, shape match, surrounded",0,Yes,0,0,0,0,0,0,0
1e81d6f9,45,"divider, random, square","corner, divider, left/right/top/bottom/above/below",shape outline,,"change color, find pattern","change color,find pattern,shape outline,corner,divider,left/right/top/bottom/above/below,random,divider,square","alignment, corner, horizontal, in/out, random, rectangle, vertical","border, count, fill with color, in/out, line, move, object area, polygon, vertical & horizontal, zigzag",3,No,0,1,0,1,0,1,0
1d0a4b61,45,motif,,obstructed,symmetry,complete,"complete,symmetry,obstructed,motif","complete, obstruction, symmetry",,6,No,1,1,1,1,1,1,0
ff72ca3e,46,"noise, obstruction, rectangle",,"border, concentric, edge",,extend/continue,"extend/continue,edge,border,concentric,rectangle,noise,obstruction","concentric, continue/extend, edge, overlap, square",,1,No,0,0,0,1,0,0,0
22a4bbc2,55,"line, rectangle",,vertical & horizontal,,"change color, count","change color,count,vertical & horizontal,rectangle,line","center, change color, symmetry, vertical","alternate, change color, count, find pattern, invert, logical operation, overlap, repeat, separator, square, vertical & horizontal",3,No,0,1,0,1,0,1,0
2685904e,56,"divider, random","corner, divider, left/right/top/bottom/above/below",vertical & horizontal,,"change color, count, find pattern","find pattern,count,change color,vertical & horizontal,corner,divider,left/right/top/bottom/above/below,random,divider",,"alternate, blend colors, count, gradient, half, left/right/top/bottom/above/below, obstacle, scale size, symmetry, touch, vertical & horizontal, wave",0,Yes,0,0,0,0,0,0,0
5207a7b5,56,"line, stair/step","border, left/right/top/bottom/above/below",,compare with: larger/smaller than,"count, extend/continue","extend/continue,count,compare with: larger/smaller than,border,left/right/top/bottom/above/below,line,stair/step",,"alternate, border, boundary, connected, corner, diagonal, extend/continue/propagate, fill with color, left/right/top/bottom/above/below, object area, surrounded, triangle, vertical & horizontal, zigzag",6,Yes,1,1,1,1,1,1,0
4e45f183,58,"divider, square","divider, left/right/top/bottom/above/below",,,move,"move,divider,left/right/top/bottom/above/below,divider,square",,"corner, divider, fill with color, middle/center, overlap, random, rectangle, square, symmetry",0,Yes,0,0,0,0,0,0,0
4acc7107,58,,"corner, left/right/top/bottom/above/below","bounding box, vertical & horizontal",,"align, move","move,align,bounding box,vertical & horizontal,corner,left/right/top/bottom/above/below",,"align, copy, move, repeat, symmetry, vertical & horizontal",0,Yes,0,0,0,0,0,0,0
626c0bcc,67,"L-shape, square, stair/step",,,,"change color, find pattern","change color,find pattern,stair/step,square,L-shape",,"L-shape, T-shape, center, change color, fill with color, gradient, left/right/top/bottom/above/below, rectangle, square",1,Yes,0,0,0,1,0,0,0
69889d6e,67,"diagonal, zigzag","edge, obstruction",,path,extend/continue,"extend/continue,path,obstruction,edge,diagonal,zigzag",,"corner, diagonal, left/right/top/bottom/above/below, line, middle/center, obstacle, shape match, symmetry, triangle, zigzag",5,Yes,0,1,1,1,1,1,0
712bf12e,69,"obstruction, random","left/right/top/bottom/above/below, obstruction",,,extend/continue,"extend/continue,obstruction,left/right/top/bottom/above/below,random,obstruction","continue/extend, left, obstruction, random, right, top, touch","diagonal, edges, extend/continue/propagate, left/right/top/bottom/above/below, line, middle/center, obstacle, random, straight, superlative: size, vertical & horizontal",0,No,0,0,0,0,0,0,0
6.42248E+09,69,"line, obstruction, random","gap/distance, left/right/top/bottom/above/below, obstruction",vertical & horizontal,,"change color, extend/continue","change color,extend/continue,vertical & horizontal,gap/distance,obstruction,left/right/top/bottom/above/below,random,line,obstruction","alignment, change color, distance/gap, edge, equidistance, horizontal, line, random, superlative: nearest, symmetry, touch, vertical","connected, left/right/top/bottom/above/below, perpendicular, random, symmetry, vertical & horizontal",0,No,0,0,0,0,0,0,0
62b74c02,69,motif,,vertical & horizontal,symmetry,"extend/continue, fill with pattern","extend/continue,fill with pattern,symmetry,vertical & horizontal,motif",,"boudning box, change color, connected, copy, extend/continue/propagate, fill with color, gap/distance, half, left/right/top/bottom/above/below, symmetry, vertical & horizontal",6,Yes,1,1,1,1,1,1,0
7bb29440,71,"noise, rectangle",,contain,,"object selection, superlative: repeat","object selection,superlative: repeat,contain,rectangle,noise",,"adjacent, align, boundary, center, circle, contain, diagonal, fill with color, gap/distance, overlap, overlay, superlative: size, surrounded",6,Yes,1,1,1,1,1,1,0
762cd429,73,square,,vertical & horizontal,scale,"extend/continue, repeat/copy","extend/continue,repeat/copy,scale,vertical & horizontal,square",,"extend/continue/propagate, gap/distance, overlay, repeat, scale size, superlative: size",6,Yes,1,1,1,1,1,1,0
770cc55f,75,"line, rectangle","alignment, center/middle, left/right/top/bottom/above/below, obstruction, parallel",vertical & horizontal,,extend/continue,"extend/continue,vertical & horizontal,parallel,center/middle,obstruction,alignment,left/right/top/bottom/above/below,rectangle,line",,"divider, fill with color, gap/distance, left/right/top/bottom/above/below, line, rectangle, vertical & horizontal",6,Yes,1,1,1,1,1,1,0
782b5218,75,"divider, random","divider, left/right/top/bottom/above/below",,"crop/compact/summarize, denoise",fill with color,"fill with color,denoise,crop/compact/summarize,divider,left/right/top/bottom/above/below,divider,random","corner, left, path, superlative: lowest, top","border, diagonal, divider, fill with color, in/out, left/right/top/bottom/above/below, line, move, random, separate, touch, vertical & horizontal",5,No,1,1,1,1,0,1,0
73182012,79,random,"corner, left/right/top/bottom/above/below",,"crop/compact/summarize, symmetry",,"symmetry,crop/compact/summarize,corner,left/right/top/bottom/above/below,random","alignment, center, circle, connected component, crop, diagonal, left, random, scale, surround, symmetry, top","circle, corner, left/right/top/bottom/above/below, surrounded",6,No,1,1,1,1,1,1,0
7c9b52a0,81,rectangle,,inside,"crop/compact/summarize, logical operation","complete, overlay","overlay,complete,logical operation,crop/compact/summarize,inside,rectangle","alignment, border, bounding box, center, crop, in/out, overlap, overlay, rectangle, scale, superlative: size, surround, unique: color",,4,No,1,1,1,1,0,0,0
7d18a6fb,85,"divider, rectangle, square","alignment, divider, left/right/top/bottom/above/below",color match,crop/compact/summarize,"change color, move, object selection","change color,object selection,move,crop/compact/summarize,color match,alignment,divider,left/right/top/bottom/above/below,rectangle,square,divider","alignment, border, center, change color, distance/gap, move, overlap, overlay, rectangle, separate, size, square, surround","change color, in/out, left/right/top/bottom/above/below, surrounded",3,No,0,1,0,1,0,1,0
8dae5dfc,86,"rectangle, square",,concentric,reverse,change color,"change color,reverse,concentric,rectangle,square",,"change color, concentric, contain, fill with color, in/out, square, symmetry",2,Yes,0,1,0,1,0,0,0
8a371977,86,"divider, square","border, center/middle, divider",edge,,"change color, fill with color, fill with pattern","change color,fill with color,fill with pattern,edge,center/middle,border,divider,divider,square",,"alternate, change color, count, divider, even/odd, fill with color, rectangle, separate, superlative: size, vertical & horizontal",6,Yes,1,1,1,1,1,1,0
845d6e51,89,"L-shape, T-shape, divider, plus, stair/step, u-shape","divider, left/right/top/bottom/above/below",,,"change color, find pattern","change color,find pattern,divider,left/right/top/bottom/above/below,divider,plus,stair/step,u-shape,L-shape,T-shape",,"change color, circle, divider, fill with color, gap/distance, left/right/top/bottom/above/below, line, middle/center, separate, separator, surrounded, vertical & horizontal",0,Yes,0,0,0,0,0,0,0
2546ccf6,91,"divider, random, square",divider,,symmetry,"complete, object selection","complete,object selection,symmetry,divider,divider,random,square",,"center, change color, divider, extend/continue/propagate, middle/center, overlay, random, rectangle, separator, superlative: repeat, symmetry, touch, vertical & horizontal",0,Yes,0,0,0,0,0,0,0
67636eac,92,,alignment,vertical & horizontal,,"align, move","align,move,vertical & horizontal,alignment",,"align, circle, compact/crop, diamond, equidistant, gap/distance, hexagon, left/right/top/bottom/above/below, overlap, random, square, star, superlative: position (e.g. topmost), surrounded, symmetry, triangle, vertical & horizontal",5,Yes,1,1,1,1,0,1,0
ea959feb,92,"motif, obstruction",,,symmetry,"complete, obstruction","complete,obstruction,symmetry,motif,obstruction","continue/extend, fill, obstruction, random, sum",,6,No,1,1,1,1,1,1,0
f45f5ca7,93,random,left/right/top/bottom/above/below,vertical & horizontal,,"align, move","move,align,vertical & horizontal,left/right/top/bottom/above/below,random","horizontal, left, line, move, right","boundary, edges, extend/continue/propagate, gap/distance, left/right/top/bottom/above/below, line, move, overlay, random, sort, superlative: position (e.g. topmost), symmetry, vertical & horizontal",6,No,1,1,1,1,1,1,0
1990f7a8,94,divider,"alignment, divider",,,"align, move","move,align,alignment,divider,divider",,"align, center, compact/crop, corner, diagonal, left/right/top/bottom/above/below, line, middle/center, overlap, random, superlative: size, symmetry, unique: color, vertical & horizontal",4,Yes,1,1,0,1,0,1,0
